,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
827,782701478380957056,164.5376186966538,45.10818407698854,-3.556027750657616,-12.652547991246447,1,0,21.6382999420166,19.5844993591309,-25.433127791652623,-2.4114106468309813,-5.353674699235609,-4.107310341831435
828,782691067380228608,164.67596020169734,45.01040772101644,-3.0816836517149504,-12.102654881219369,1,0,16.0100002288818,15.5060997009277,-25.42529555647667,-2.5494264239461866,-4.621707895190602,-4.029371276607452
829,782864785921430656,162.61745611609825,45.00282000781507,-6.2579701084389345,-12.738767411652216,1,0,21.1032009124756,20.1032009124756,-26.505195590052494,-1.572939436624133,-7.536718541794424,-2.0628639067855334
830,782846850140050176,163.25293888718437,45.166971091906646,-3.402912270895686,-11.617961327416124,1,0,21.9501991271973,19.8974990844727,-26.064758973152834,-1.758531641627294,-4.643860256183874,-3.280048369873829
831,782600834411324672,162.78570779161691,44.39072988327388,-6.619462544866323,-12.816920832430874,1,0,20.7240009307861,19.9060001373291,-26.8365431805575,-2.101409213104853,-7.840492786053265,-1.8932277262841126
832,782632204852580864,163.15344950484982,44.76551317947369,-3.91454393572676,-14.04118312873028,1,0,20.0998001098633,18.3143005371094,-26.38918522015632,-2.0054821798063056,-6.6701669021638,-4.69379856913064
833,782630452507365120,163.07979225745575,44.629338902211956,-5.573759616586921,-12.533557925726537,1,0,21.1583995819092,19.979700088501,-26.520241521914386,-2.069752976233912,-6.866749662395734,-2.4475767841697547
834,782624439553100160,163.049899519516,44.48998706266913,-3.381575645427514,-13.520982610178184,1,0,22.1224994659424,20.104700088501,-26.630735362001587,-2.157390349254025,-5.933356921247483,-4.656843025246483
835,782716454930824320,163.64678938497627,44.78012400461867,-5.461931959726911,-12.37890849239042,1,0,17.1123008728027,16.7602005004883,-26.121408031863155,-2.231897095816922,-6.645875053418648,-2.4965205303024005
836,782924468786836096,163.6272304157351,45.13715639048785,-4.2945129923135745,-13.557720648610285,1,0,20.8141994476318,18.9466991424561,-25.890498666524365,-1.9591042632587194,-6.583844086305933,-4.155542083102276
